"","Produkt","Kategoria","Segment","Sprzedaz2013","Sprzedaz2014","Marza2013","Marza2014","Sztuki2013","Sztuki2014"
"39","Produkt 1","Skin care","Facial care","221","1,025",98,411,106,359
"40","Produkt 6","Skin care","Sun care","204","821",92,338,76,275
"41","Produkt 11","Skin care","Hand and body care","759","968",342,399,289,404
"42","Produkt 16","Skin care","Facial care","312","198",139,12,143,72
"43","Produkt 21","Skin care","Sun care","345","676",154,260,123,305
"44","Produkt 26","Skin care","Hand and body care","71","879",32,373,29,368
"45","Produkt 1","Skin care","Facial care","463","457",207,172,162,169
"46","Produkt 6","Skin care","Sun care","893","690",401,279,338,308
"47","Produkt 11","Skin care","Hand and body care","767","124",344,20,359,46
"48","Produkt 16","Skin care","Facial care","907","760",407,305,362,301
"49","Produkt 21","Skin care","Sun care","10","912",3,365,3,360
"50","Produkt 26","Skin care","Hand and body care","737","381",330,153,328,178
"51","Produkt 1","Skin care","Facial care","113","128",50,5,43,63
"52","Produkt 6","Skin care","Sun care","298","210",134,32,140,93
"53","Produkt 11","Skin care","Hand and body care","133","1,049",59,446,46,488
"54","Produkt 16","Skin care","Facial care","526","359",236,124,206,135
"55","Produkt 21","Skin care","Sun care","173","436",77,176,65,183
"56","Produkt 26","Skin care","Hand and body care","361","1,072",162,474,125,441
"57","Produkt 1","Skin care","Facial care","652","811",293,289,260,278
"58","Produkt 6","Skin care","Sun care","607","455",272,140,230,158
"59","Produkt 11","Skin care","Hand and body care","650","223",292,49,308,111
"60","Produkt 16","Skin care","Facial care","567","1,045",254,421,192,418
"61","Produkt 21","Skin care","Sun care","471","984",212,424,194,411
"62","Produkt 26","Skin care","Hand and body care","617","694",277,263,294,337
"63","Produkt 1","Skin care","Facial care","538","206",241,21,257,70
"64","Produkt 6","Skin care","Sun care","751","417",338,125,340,197
"65","Produkt 11","Skin care","Hand and body care","606","785",271,314,221,269
"66","Produkt 16","Skin care","Facial care","98","798",42,314,37,353
"67","Produkt 21","Skin care","Sun care","791","512",354,186,318,207
"68","Produkt 26","Skin care","Hand and body care","279","372",124,135,122,150
"69","Produkt 1","Skin care","Facial care","893","432",401,173,320,188
"70","Produkt 6","Skin care","Sun care","38","734",16,306,16,346
"71","Produkt 11","Skin care","Hand and body care","606","397",271,121,256,157
"72","Produkt 16","Skin care","Facial care","225","12",101,-42,100,6
"73","Produkt 21","Skin care","Sun care","742","381",333,139,334,144
"74","Produkt 26","Skin care","Hand and body care","376","436",168,146,164,149
"75","Produkt 1","Skin care","Facial care","420","95",189,7,175,42
"76","Produkt 6","Skin care","Sun care","970","634",436,222,397,270
"77","Produkt 11","Skin care","Hand and body care","187","468",84,149,64,233
"78","Produkt 16","Skin care","Facial care","735","542",330,223,274,192
"79","Produkt 21","Skin care","Sun care","339","808",151,328,168,395
"80","Produkt 26","Skin care","Hand and body care","49","139",22,36,19,61
"81","Produkt 1","Skin care","Facial care","759","325",341,65,283,140
"82","Produkt 6","Skin care","Sun care","210","161",93,-5,85,56
"83","Produkt 11","Skin care","Hand and body care","286","326",128,96,112,128
"84","Produkt 16","Skin care","Facial care","681","331",306,129,252,144
"85","Produkt 21","Skin care","Sun care","279","543",124,201,118,212
"86","Produkt 26","Skin care","Hand and body care","70","850",30,317,29,287
"87","Produkt 1","Skin care","Facial care","919","810",413,345,340,344
"88","Produkt 6","Skin care","Sun care","959","278",430,87,364,104
"89","Produkt 11","Skin care","Hand and body care","179","840",80,305,60,388
"90","Produkt 16","Skin care","Facial care","439","362",197,117,184,128
"91","Produkt 21","Skin care","Sun care","634","1,016",285,396,258,460
"92","Produkt 26","Skin care","Hand and body care","42","31",19,-6,15,15
"93","Produkt 1","Skin care","Facial care","342","817",152,353,140,389
"94","Produkt 6","Skin care","Sun care","287","352",129,104,99,125
"95","Produkt 11","Skin care","Hand and body care","110","525",49,184,50,233
"96","Produkt 16","Skin care","Facial care","454","907",204,340,166,305
"97","Produkt 21","Skin care","Sun care","437","437",196,119,207,150
"98","Produkt 26","Skin care","Hand and body care","347","855",155,371,173,384
"99","Produkt 1","Skin care","Facial care","125","158",56,15,48,73
"100","Produkt 6","Skin care","Sun care","688","732",308,294,330,245
"101","Produkt 11","Skin care","Hand and body care","481","572",217,233,201,217
"102","Produkt 16","Skin care","Facial care","913","497",411,189,407,222
"103","Produkt 21","Skin care","Sun care","79","137",34,34,39,58
"104","Produkt 26","Skin care","Hand and body care","457","897",204,374,163,418
"105","Produkt 1","Skin care","Facial care","62","190",27,19,29,89
"106","Produkt 6","Skin care","Sun care","119","143",54,38,56,60
"107","Produkt 11","Skin care","Hand and body care","919","407",412,134,343,180
"108","Produkt 16","Skin care","Facial care","398","305",178,72,145,122
"109","Produkt 21","Skin care","Sun care","932","450",419,168,442,173
"110","Produkt 26","Skin care","Hand and body care","527","532",236,205,229,244
"111","Produkt 1","Skin care","Facial care","362","72",162,-16,126,28
"112","Produkt 6","Skin care","Sun care","62","716",27,283,21,316
"113","Produkt 11","Skin care","Hand and body care","492","974",220,403,232,443
"114","Produkt 16","Skin care","Facial care","598","943",268,360,237,426
"115","Produkt 21","Skin care","Sun care","479","857",215,328,190,373
"116","Produkt 26","Skin care","Hand and body care","846","48",379,-17,346,22
"117","Produkt 1","Skin care","Facial care","967","432",434,150,381,215
"118","Produkt 6","Skin care","Sun care","720","972",323,413,292,485
"119","Produkt 11","Skin care","Hand and body care","322","847",144,338,161,306
"120","Produkt 16","Skin care","Facial care","512","369",229,135,172,158
"121","Produkt 21","Skin care","Sun care","907","957",408,356,420,322
"122","Produkt 26","Skin care","Hand and body care","538","215",242,51,254,87
"123","Produkt 1","Skin care","Facial care","487","727",219,285,212,246
"124","Produkt 6","Skin care","Sun care","310","284",140,100,151,95
"125","Produkt 11","Skin care","Hand and body care","390","705",174,263,131,252
"126","Produkt 16","Skin care","Facial care","24","1,077",9,422,9,396
"127","Produkt 21","Skin care","Sun care","354","1,053",158,398,136,419
"128","Produkt 26","Skin care","Hand and body care","632","894",284,337,214,335
"129","Produkt 1","Skin care","Facial care","46","888",20,355,17,432
"130","Produkt 6","Skin care","Sun care","506","791",227,319,211,279
"131","Produkt 11","Skin care","Hand and body care","785","784",352,338,264,316
"132","Produkt 16","Skin care","Facial care","91","216",40,69,37,78
"133","Produkt 21","Skin care","Sun care","598","817",268,345,289,312
"134","Produkt 26","Skin care","Hand and body care","159","628",70,227,73,247
"135","Produkt 1","Skin care","Facial care","129","703",58,287,52,316
"136","Produkt 6","Skin care","Sun care","446","626",200,248,152,213
"137","Produkt 11","Skin care","Hand and body care","909","104",408,-20,347,51
"138","Produkt 16","Skin care","Facial care","432","666",194,272,160,295
"139","Produkt 21","Skin care","Sun care","761","156",341,2,279,55
"140","Produkt 26","Skin care","Hand and body care","613","689",274,248,217,273
"141","Produkt 1","Skin care","Facial care","548","639",245,224,187,214
"142","Produkt 6","Skin care","Sun care","118","347",51,142,46,122
"143","Produkt 11","Skin care","Hand and body care","746","347",334,116,279,136
"144","Produkt 16","Skin care","Facial care","733","594",328,226,246,268
"145","Produkt 21","Skin care","Sun care","488","348",218,106,239,133
"146","Produkt 26","Skin care","Hand and body care","549","1,067",246,452,209,475
"147","Produkt 1","Skin care","Facial care","495","977",222,376,197,397
"148","Produkt 6","Skin care","Sun care","557","660",249,251,189,247
"149","Produkt 11","Skin care","Hand and body care","47","589",21,245,21,223
"150","Produkt 16","Skin care","Facial care","683","926",307,401,268,391
"151","Produkt 21","Skin care","Sun care","635","847",285,333,270,370
"152","Produkt 26","Skin care","Hand and body care","209","340",93,142,73,152
"153","Produkt 1","Skin care","Facial care","945","220",424,59,392,86
"154","Produkt 6","Skin care","Sun care","242","232",108,39,81,112
"155","Produkt 11","Skin care","Hand and body care","666","610",300,239,331,213
"156","Produkt 16","Skin care","Facial care","607","1,070",271,430,217,378
"157","Produkt 21","Skin care","Sun care","21","885",10,346,10,398
"158","Produkt 26","Skin care","Hand and body care","888","61",399,-27,322,22
"159","Produkt 1","Skin care","Facial care","687","1,014",309,398,308,351
"160","Produkt 6","Skin care","Sun care","543","737",244,287,203,331
"161","Produkt 11","Skin care","Hand and body care","238","969",107,428,82,334
"162","Produkt 16","Skin care","Facial care","867","325",390,110,322,131
"163","Produkt 21","Skin care","Sun care","955","375",429,144,468,148
"164","Produkt 26","Skin care","Hand and body care","637","162",285,11,248,75
"165","Produkt 1","Skin care","Facial care","212","578",95,210,74,212
"166","Produkt 6","Skin care","Sun care","961","1,044",431,418,331,378
"167","Produkt 11","Skin care","Hand and body care","378","177",170,16,140,74
"168","Produkt 16","Skin care","Facial care","210","1,009",94,424,100,339
"169","Produkt 21","Skin care","Sun care","581","844",261,313,206,349
"170","Produkt 26","Skin care","Hand and body care","224","943",100,381,86,390
"171","Produkt 1","Skin care","Facial care","891","170",401,21,370,59
"172","Produkt 6","Skin care","Sun care","91","1,060",41,449,31,411
"173","Produkt 11","Skin care","Hand and body care","975","928",437,351,378,390
"174","Produkt 16","Skin care","Facial care","271","820",122,357,108,399
"175","Produkt 21","Skin care","Sun care","692","44",311,-4,295,18
"176","Produkt 26","Skin care","Hand and body care","920","1,077",413,446,316,474
"177","Produkt 1","Skin care","Facial care","460","16",205,-1,178,6
"178","Produkt 6","Skin care","Sun care","197","242",87,80,68,101
"179","Produkt 11","Skin care","Hand and body care","807","219",361,31,281,88
"180","Produkt 16","Skin care","Facial care","867","419",390,148,362,195
"181","Produkt 21","Skin care","Sun care","633","187",285,31,230,72
"182","Produkt 26","Skin care","Hand and body care","669","253",301,72,251,102
"183","Produkt 1","Skin care","Facial care","944","898",423,385,454,310
"184","Produkt 6","Skin care","Sun care","936","857",421,342,377,304
"185","Produkt 11","Skin care","Hand and body care","615","863",277,335,233,378
"186","Produkt 16","Skin care","Facial care","60","74",26,5,28,35
"187","Produkt 21","Skin care","Sun care","368","933",165,382,170,356
"188","Produkt 26","Skin care","Hand and body care","135","1,058",60,405,48,516
"189","Produkt 1","Skin care","Facial care","179","988",79,377,71,371
"190","Produkt 6","Skin care","Sun care","263","490",117,159,89,236
"191","Produkt 11","Skin care","Hand and body care","221","291",98,89,85,131
"192","Produkt 16","Skin care","Facial care","668","872",299,349,261,372
"193","Produkt 21","Skin care","Sun care","74","682",32,263,26,241
"194","Produkt 26","Skin care","Hand and body care","937","142",420,-3,318,53
"195","Produkt 1","Skin care","Facial care","289","774",130,321,136,323
"196","Produkt 6","Skin care","Sun care","308","453",138,178,103,179
"197","Produkt 11","Skin care","Hand and body care","327","419",146,155,131,147
"198","Produkt 16","Skin care","Facial care","168","1,009",74,423,80,464
"199","Produkt 21","Skin care","Sun care","995","59",446,-10,439,20
"200","Produkt 26","Skin care","Hand and body care","219","700",98,264,90,311
"201","Produkt 1","Skin care","Facial care","311","12",140,-33,119,6
"202","Produkt 6","Skin care","Sun care","240","24",106,-51,82,9
"203","Produkt 11","Skin care","Hand and body care","101","1,086",46,426,45,382
"204","Produkt 16","Skin care","Facial care","709","421",319,122,345,207
"205","Produkt 21","Skin care","Sun care","226","495",101,177,83,241
"206","Produkt 26","Skin care","Hand and body care","542","248",243,88,230,123
"207","Produkt 1","Skin care","Facial care","782","434",352,140,284,183
"208","Produkt 6","Skin care","Sun care","861","453",387,137,371,173
"209","Produkt 11","Skin care","Hand and body care","156","187",68,25,73,77
"210","Produkt 16","Skin care","Facial care","301","683",135,275,124,277
"211","Produkt 21","Skin care","Sun care","719","1,076",323,463,329,463
"212","Produkt 26","Skin care","Hand and body care","882","18",397,-24,430,7
"213","Produkt 1","Skin care","Facial care","820","928",368,343,368,382
"214","Produkt 6","Skin care","Sun care","901","874",405,349,318,372
"215","Produkt 11","Skin care","Hand and body care","818","231",367,72,277,80
"216","Produkt 16","Skin care","Facial care","442","293",199,71,214,142
"217","Produkt 21","Skin care","Sun care","430","658",193,256,176,326
"218","Produkt 26","Skin care","Hand and body care","352","541",158,172,163,196
"219","Produkt 1","Skin care","Facial care","275","604",123,250,96,276
"220","Produkt 6","Skin care","Sun care","850","1,092",382,412,292,529
"221","Produkt 11","Skin care","Hand and body care","622","653",279,248,229,239
"222","Produkt 16","Skin care","Facial care","241","137",108,4,82,47
"223","Produkt 21","Skin care","Sun care","798","710",359,252,317,326
"224","Produkt 26","Skin care","Hand and body care","484","459",218,159,235,159
"225","Produkt 1","Skin care","Facial care","924","692",416,233,347,240
"226","Produkt 6","Skin care","Sun care","639","1,077",286,464,232,390
"227","Produkt 11","Skin care","Hand and body care","409","142",182,52,164,50
"228","Produkt 16","Skin care","Facial care","884","475",397,198,299,169
"229","Produkt 21","Skin care","Sun care","700","752",313,302,312,260
"230","Produkt 26","Skin care","Hand and body care","321","646",143,224,111,266
"231","Produkt 1","Skin care","Facial care","936","567",419,211,436,225
"232","Produkt 6","Skin care","Sun care","400","877",180,354,194,304
"233","Produkt 11","Skin care","Hand and body care","27","14",11,-19,13,6
"234","Produkt 16","Skin care","Facial care","263","172",117,63,118,70
"235","Produkt 21","Skin care","Sun care","420","432",188,165,178,168
"236","Produkt 26","Skin care","Hand and body care","991","628",445,252,337,250
"237","Produkt 1","Skin care","Facial care","527","279",236,115,210,124
"238","Produkt 6","Skin care","Sun care","556","756",248,313,244,338
"239","Produkt 11","Skin care","Hand and body care","682","198",307,16,305,79
"240","Produkt 16","Skin care","Facial care","68","490",29,193,24,212
"241","Produkt 21","Skin care","Sun care","90","307",41,115,31,106
"242","Produkt 26","Skin care","Hand and body care","941","1,061",423,458,349,383
"243","Produkt 1","Skin care","Facial care","646","245",290,57,276,94
"244","Produkt 6","Skin care","Sun care","544","300",244,113,228,124
"245","Produkt 11","Skin care","Hand and body care","901","567",404,201,315,235
"246","Produkt 16","Skin care","Facial care","515","1,029",230,404,183,384
"247","Produkt 21","Skin care","Sun care","470","475",210,176,212,187
"248","Produkt 26","Skin care","Hand and body care","269","299",121,98,119,135
"249","Produkt 1","Skin care","Facial care","815","568",366,218,324,223
"250","Produkt 6","Skin care","Sun care","206","790",93,324,83,309
"251","Produkt 11","Skin care","Hand and body care","604","192",271,64,224,90
"252","Produkt 16","Skin care","Facial care","971","839",437,327,463,373
"253","Produkt 21","Skin care","Sun care","488","501",219,166,164,178
"254","Produkt 26","Skin care","Hand and body care","476","119",214,1,177,56
"255","Produkt 1","Skin care","Facial care","752","251",338,79,252,88
"256","Produkt 6","Skin care","Sun care","694","556",311,193,308,261
"257","Produkt 11","Skin care","Hand and body care","928","247",417,65,315,90
"258","Produkt 16","Skin care","Facial care","956","708",430,299,419,331
"259","Produkt 21","Skin care","Sun care","746","139",335,39,289,53
"260","Produkt 26","Skin care","Hand and body care","336","86",150,-15,140,29
"261","Produkt 1","Skin care","Facial care","474","13",211,-36,192,5
"262","Produkt 6","Skin care","Sun care","935","17",420,-28,373,8
"263","Produkt 11","Skin care","Hand and body care","895","195",401,55,317,69
"264","Produkt 16","Skin care","Facial care","923","904",414,372,310,432
"265","Produkt 21","Skin care","Sun care","680","427",306,152,253,157
"266","Produkt 26","Skin care","Hand and body care","867","934",389,408,339,353
"267","Produkt 1","Skin care","Facial care","466","932",209,372,173,347
"268","Produkt 6","Skin care","Sun care","502","1,083",226,425,177,535
"269","Produkt 11","Skin care","Hand and body care","987","764",444,320,468,367
"270","Produkt 16","Skin care","Facial care","877","393",395,126,295,144
"271","Produkt 21","Skin care","Sun care","519","1,098",233,461,254,437
"272","Produkt 26","Skin care","Hand and body care","755","191",339,59,325,89
"273","Produkt 1","Skin care","Facial care","677","1,010",304,398,281,415
"274","Produkt 6","Skin care","Sun care","454","745",202,295,192,333
"275","Produkt 11","Skin care","Hand and body care","425","1,031",191,405,144,509
"276","Produkt 16","Skin care","Facial care","32","381",13,121,13,175
"277","Produkt 21","Skin care","Sun care","608","538",273,170,293,203
"278","Produkt 26","Skin care","Hand and body care","22","515",10,200,10,253
"279","Produkt 1","Skin care","Facial care","15","636",6,209,6,234
"280","Produkt 6","Skin care","Sun care","514","841",231,308,180,368
"281","Produkt 11","Skin care","Hand and body care","791","348",355,113,375,169
"282","Produkt 16","Skin care","Facial care","348","599",156,236,118,272
"283","Produkt 21","Skin care","Sun care","839","442",376,176,372,193
"284","Produkt 26","Skin care","Hand and body care","209","223",93,61,73,103
"285","Produkt 1","Skin care","Facial care","956","705",429,281,443,283
"286","Produkt 6","Skin care","Sun care","70","880",30,365,25,387
"287","Produkt 11","Skin care","Hand and body care","774","318",347,78,297,139
"288","Produkt 16","Skin care","Facial care","36","922",15,347,13,415
"289","Produkt 21","Skin care","Sun care","152","361",67,92,65,168
"290","Produkt 26","Skin care","Hand and body care","917","1,092",412,443,361,491
"291","Produkt 1","Skin care","Facial care","927","476",417,159,315,201
"292","Produkt 6","Skin care","Sun care","30","900",13,351,10,347
"293","Produkt 11","Skin care","Hand and body care","951","501",427,186,325,185
"294","Produkt 16","Skin care","Facial care","700","46",314,-13,297,17
"295","Produkt 21","Skin care","Sun care","905","130",406,42,319,58
"296","Produkt 26","Skin care","Hand and body care","958","749",429,270,356,276
"297","Produkt 1","Skin care","Facial care","854","192",383,52,342,85
"298","Produkt 11","Skin care","Hand and body care","367","498",165,194,130,207
"299","Produkt 16","Skin care","Facial care","282","33",125,-58,132,16
"300","Produkt 21","Skin care","Sun care","591","841",265,332,282,296
"301","Produkt 26","Skin care","Hand and body care","20","865",9,340,10,341
"302","Produkt 1","Skin care","Facial care","573","772",257,318,202,270
"303","Produkt 6","Skin care","Sun care","183","613",81,227,65,286
"304","Produkt 11","Skin care","Hand and body care","283","750",127,286,125,303
"305","Produkt 16","Skin care","Facial care","732","1,057",328,441,298,522
"306","Produkt 21","Skin care","Sun care","58","664",25,281,22,281
"307","Produkt 26","Skin care","Hand and body care","232","205",104,19,101,77
"308","Produkt 1","Skin care","Facial care","437","683",196,288,165,256
"309","Produkt 6","Skin care","Sun care","378","1,027",170,447,159,377
"310","Produkt 11","Skin care","Hand and body care","212","995",95,402,105,335
"311","Produkt 16","Skin care","Facial care","534","248",240,59,230,97
"312","Produkt 21","Skin care","Sun care","164","909",72,361,74,318
"313","Produkt 26","Skin care","Hand and body care","169","887",74,349,60,352
"314","Produkt 1","Skin care","Facial care","798","615",358,220,354,205
"315","Produkt 6","Skin care","Sun care","169","643",75,236,70,237
"316","Produkt 11","Skin care","Hand and body care","150","288",67,100,65,103
"317","Produkt 16","Skin care","Facial care","272","313",122,86,109,135
"318","Produkt 21","Skin care","Sun care","382","14",171,-36,181,5
"319","Produkt 26","Skin care","Hand and body care","917","283",412,102,418,114
"320","Produkt 1","Skin care","Facial care","572","154",255,40,230,59
"321","Produkt 6","Skin care","Sun care","211","224",93,59,80,100
"322","Produkt 11","Skin care","Hand and body care","10","462",3,150,3,208
"323","Produkt 16","Skin care","Facial care","326","416",146,156,128,140
"324","Produkt 21","Skin care","Sun care","135","334",59,137,47,117
"325","Produkt 26","Skin care","Hand and body care","244","945",109,401,87,352
"326","Produkt 1","Skin care","Facial care","343","131",154,29,122,50
"327","Produkt 6","Skin care","Sun care","806","859",362,365,275,321
"328","Produkt 11","Skin care","Hand and body care","633","548",285,228,219,238
"329","Produkt 16","Skin care","Facial care","80","44",35,-13,30,16
"330","Produkt 21","Skin care","Sun care","989","710",445,282,334,277
"331","Produkt 26","Skin care","Hand and body care","754","681",339,258,253,336
"332","Produkt 1","Skin care","Facial care","691","452",310,146,279,188
"333","Produkt 6","Skin care","Sun care","258","596",116,194,121,208
"334","Produkt 11","Skin care","Hand and body care","425","138",191,28,176,63
"335","Produkt 16","Skin care","Facial care","135","1,017",59,388,59,361
"336","Produkt 21","Skin care","Sun care","782","716",352,303,351,355
"337","Produkt 26","Skin care","Hand and body care","8","101",3,-1,3,39
"338","Produkt 1","Skin care","Facial care","25","1,040",11,429,9,429
"339","Produkt 6","Skin care","Sun care","387","1,007",172,418,131,375
"340","Produkt 11","Skin care","Hand and body care","57","919",24,374,23,310
"341","Produkt 16","Skin care","Facial care","77","750",33,265,27,356
"342","Produkt 21","Skin care","Sun care","670","841",301,336,330,419
"343","Produkt 26","Skin care","Hand and body care","353","991",157,407,170,452
"344","Produkt 1","Skin care","Facial care","55","672",25,271,21,234
"345","Produkt 6","Skin care","Sun care","555","114",249,17,237,43
"346","Produkt 11","Skin care","Hand and body care","665","817",298,319,228,282
"347","Produkt 16","Skin care","Facial care","953","269",427,94,343,106
"348","Produkt 21","Skin care","Sun care","571","39",256,-39,200,19
"349","Produkt 11","Skin care","Hand and body care","575","1,088",258,412,259,449
"350","Produkt 16","Skin care","Facial care","233","464",103,183,100,157
"351","Produkt 21","Skin care","Sun care","379","72",171,-44,185,29
"352","Produkt 26","Skin care","Hand and body care","346","806",156,339,166,324
"353","Produkt 1","Skin care","Facial care","737","1,096",331,433,319,455
"354","Produkt 6","Skin care","Sun care","694","191",311,10,279,84
"355","Produkt 11","Skin care","Hand and body care","352","526",158,202,149,221
"356","Produkt 16","Skin care","Facial care","538","685",241,293,237,318
"357","Produkt 21","Skin care","Sun care","380","49",170,9,151,24
"358","Produkt 26","Skin care","Hand and body care","261","206",117,57,126,87
"359","Produkt 1","Skin care","Facial care","177","632",78,243,67,286
"360","Produkt 6","Skin care","Sun care","323","83",145,-15,120,34
"361","Produkt 11","Skin care","Hand and body care","70","863",30,333,27,421
"362","Produkt 16","Skin care","Facial care","996","905",447,351,365,326
"363","Produkt 21","Skin care","Sun care","695","725",312,304,264,356
"364","Produkt 26","Skin care","Hand and body care","583","938",261,364,202,343
"365","Produkt 1","Skin care","Facial care","142","184",63,20,68,85
"366","Produkt 6","Skin care","Sun care","484","417",217,135,232,140
"367","Produkt 11","Skin care","Hand and body care","871","791",392,274,398,296
"368","Produkt 16","Skin care","Facial care","622","206",280,52,274,93
"369","Produkt 21","Skin care","Sun care","606","1,049",272,398,230,484
"370","Produkt 26","Skin care","Hand and body care","342","894",153,353,130,312
"371","Produkt 1","Skin care","Facial care","239","235",107,72,107,92
"372","Produkt 6","Skin care","Sun care","840","405",378,108,389,158
"373","Produkt 11","Skin care","Hand and body care","474","743",212,320,168,323
"374","Produkt 16","Skin care","Facial care","782","191",350,24,367,65
"375","Produkt 21","Skin care","Sun care","221","921",99,403,85,378
"376","Produkt 26","Skin care","Hand and body care","905","591",406,220,366,226
"377","Produkt 1","Skin care","Facial care","596","916",268,381,231,351
"378","Produkt 6","Skin care","Sun care","588","600",264,230,243,205
"379","Produkt 11","Skin care","Hand and body care","293","646",130,271,104,241
"380","Produkt 16","Skin care","Facial care","827","714",372,242,281,271
"381","Produkt 21","Skin care","Sun care","468","337",209,115,233,114
"382","Produkt 26","Skin care","Hand and body care","220","698",98,297,108,336
"383","Produkt 1","Skin care","Facial care","835","537",375,191,309,181
"384","Produkt 6","Skin care","Sun care","248","204",110,46,120,90
"385","Produkt 11","Skin care","Hand and body care","15","278",7,117,7,122
"386","Produkt 16","Skin care","Facial care","232","818",103,350,80,384
"387","Produkt 21","Skin care","Sun care","352","1,012",157,394,130,338
"388","Produkt 26","Skin care","Hand and body care","391","274",176,60,166,108
"389","Produkt 1","Skin care","Facial care","153","403",68,125,54,154
"390","Produkt 6","Skin care","Sun care","587","1,011",263,424,246,377
"391","Produkt 11","Skin care","Hand and body care","354","877",158,352,134,313
"392","Produkt 16","Skin care","Facial care","116","563",52,248,46,259
"393","Produkt 21","Skin care","Sun care","125","1,005",55,396,58,348
"394","Produkt 26","Skin care","Hand and body care","600","55",269,1,235,24
"395","Produkt 1","Skin care","Facial care","962","60",433,-22,367,27
"396","Produkt 6","Skin care","Sun care","490","372",219,129,217,179
"397","Produkt 11","Skin care","Hand and body care","971","822",436,306,333,399
"398","Produkt 16","Skin care","Facial care","972","927",436,386,361,341
"399","Produkt 21","Skin care","Sun care","377","639",168,249,133,264
"400","Produkt 26","Skin care","Hand and body care","762","240",343,73,342,98
"401","Produkt 1","Skin care","Facial care","998","544",447,207,480,212
"402","Produkt 6","Skin care","Sun care","20","368",8,132,10,162
"403","Produkt 11","Skin care","Hand and body care","440","286",197,71,165,111
"404","Produkt 16","Skin care","Facial care","462","943",207,363,207,379
"405","Produkt 21","Skin care","Sun care","499","753",224,315,176,306
"406","Produkt 26","Skin care","Hand and body care","360","971",162,374,177,443
"407","Produkt 1","Skin care","Facial care","596","155",266,52,284,56
"408","Produkt 6","Skin care","Sun care","245","342",109,99,83,131
"409","Produkt 11","Skin care","Hand and body care","797","353",358,132,310,123
"410","Produkt 16","Skin care","Facial care","997","571",447,205,430,209
"411","Produkt 21","Skin care","Sun care","591","689",266,278,234,267
"412","Produkt 26","Skin care","Hand and body care","418","436",187,180,176,212
"413","Produkt 1","Skin care","Facial care","958","980",430,368,430,478
"414","Produkt 6","Skin care","Sun care","627","941",282,358,220,388
"415","Produkt 11","Skin care","Hand and body care","913","352",409,127,346,135
"416","Produkt 16","Skin care","Facial care","335","1,006",150,435,159,415
"417","Produkt 21","Skin care","Sun care","454","1,059",203,416,201,371
"418","Produkt 26","Skin care","Hand and body care","337","584",151,241,117,287
"419","Produkt 1","Skin care","Facial care","193","755",86,330,67,269
"420","Produkt 6","Skin care","Sun care","517","108",233,-24,237,53
